iter	Passed	Remaining
0	57	57188
1	57	28717
2	57	19224
3	58	14474
4	58	11621
5	58	9723
6	59	8372
7	59	7353
8	59	6560
9	59	5937
10	60	5417
11	60	4989
12	60	4621
13	61	4303
14	61	4030
15	61	3790
16	61	3579
17	62	3391
18	62	3229
19	62	3077
20	63	2940
21	63	2815
22	63	2702
23	63	2598
24	64	2502
25	64	2413
26	64	2331
27	64	2255
28	65	2184
29	65	2119
30	65	2058
31	66	2000
32	66	1946
33	66	1894
34	66	1845
35	67	1798
36	67	1754
37	67	1712
38	67	1672
39	68	1635
40	68	1600
41	68	1566
42	69	1537
43	69	1506
44	69	1476
45	69	1448
46	70	1422
47	70	1396
48	70	1371
49	70	1347
50	71	1324
51	71	1301
52	71	1280
53	71	1259
54	72	1240
55	72	1221
56	72	1202
57	72	1184
58	73	1167
59	73	1150
60	73	1133
61	73	1118
62	74	1104
63	74	1089
64	74	1075
65	74	1060
66	75	1048
67	75	1036
68	75	1023
69	76	1011
70	76	999
71	76	987
72	76	975
73	77	964
74	77	953
75	77	942
76	77	932
77	78	922
78	78	912
79	78	902
80	78	893
81	78	884
82	79	874
83	79	865
84	79	858
85	80	850
86	80	842
87	80	833
88	80	826
89	80	818
90	81	811
91	81	804
92	81	797
93	81	789
94	82	782
95	82	775
96	82	769
97	82	762
98	83	756
99	83	749
100	83	743
101	83	737
102	84	732
103	84	727
104	84	722
105	84	716
106	85	711
107	85	705
108	85	700
109	85	695
110	86	689
111	86	685
112	86	680
113	86	675
114	87	670
115	87	666
116	87	660
117	87	656
118	88	653
119	88	649
120	88	645
121	88	640
122	89	635
123	89	631
124	89	628
125	89	624
126	90	619
127	90	616
128	90	612
129	90	608
130	91	604
131	91	601
132	91	597
133	91	593
134	92	589
135	92	586
136	92	583
137	92	579
138	93	576
139	93	573
140	93	569
141	93	566
142	94	563
143	94	560
144	94	557
145	94	553
146	94	550
147	95	547
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	514
160	98	511
161	98	508
162	98	505
163	98	503
164	99	501
165	99	498
166	99	495
167	99	493
168	99	491
169	100	488
170	100	486
171	100	484
172	100	481
173	101	479
174	101	477
175	101	475
176	101	473
177	102	471
178	102	469
179	102	467
180	102	465
181	103	463
182	103	461
183	103	459
184	103	458
185	104	456
186	104	454
187	104	452
188	104	450
189	105	448
190	105	446
191	106	447
192	106	445
193	106	444
194	107	442
195	107	440
196	107	438
197	107	436
198	108	435
199	108	433
200	108	431
201	108	429
202	109	428
203	109	426
204	109	425
205	109	423
206	110	421
207	110	420
208	110	418
209	110	417
210	111	415
211	111	413
212	111	412
213	111	410
